"Dispatch Number","Dispatch Date","Source Store","Destination Store",Status,"Product Name",Category,Vendor,Barcode,"Unit Price",Quantity
DSP-20260303-8CDCAF,"2026-03-03 19:50:11",OFFICE,SHOWROOM,Delivered,"DESHI JOYPURI 3PIECE - FA1-8",,"FA1-FASHION 3PIECE",N/A,"1,500.00",1
DSP-20260303-8CDCAF,"2026-03-03 19:50:11",OFFICE,SHOWROOM,Delivered,"DESHI JOYPURI 3PIECE - FA1-8",,"FA1-FASHION 3PIECE",N/A,"1,500.00",1
DSP-20260303-B840D9,"2026-03-03 19:48:53",OFFICE,SHOWROOM,Delivered,"DESHI JOYPURI 3PIECE - FA1-7",,"FA1-FASHION 3PIECE",N/A,"1,500.00",1
DSP-20260303-B840D9,"2026-03-03 19:48:53",OFFICE,SHOWROOM,Delivered,"DESHI JOYPURI 3PIECE - FA1-7",,"FA1-FASHION 3PIECE",N/A,"1,500.00",1
DSP-20260303-B840D9,"2026-03-03 19:48:53",OFFICE,SHOWROOM,Delivered,"DESHI JOYPURI 3PIECE - FA1-7",,"FA1-FASHION 3PIECE",N/A,"1,500.00",1
DSP-20260303-AB4E2F,"2026-03-03 19:46:46",OFFICE,SHOWROOM,Delivered,"DESHI JOYPURI 3PIECE - FA1-6",,"FA1-FASHION 3PIECE",N/A,"1,500.00",1
DSP-20260303-AB4E2F,"2026-03-03 19:46:46",OFFICE,SHOWROOM,Delivered,"DESHI JOYPURI 3PIECE - FA1-6",,"FA1-FASHION 3PIECE",N/A,"1,500.00",1
DSP-20260303-AB4E2F,"2026-03-03 19:46:46",OFFICE,SHOWROOM,Delivered,"DESHI JOYPURI 3PIECE - FA1-6",,"FA1-FASHION 3PIECE",N/A,"1,500.00",1
DSP-20260303-532BF3,"2026-03-03 19:44:36",OFFICE,SHOWROOM,Delivered,"COTTON 3PIECE - FA1-11",,"FA1-FASHION 3PIECE",N/A,"1,650.00",1
DSP-20260303-532BF3,"2026-03-03 19:44:36",OFFICE,SHOWROOM,Delivered,"COTTON 3PIECE - FA1-11",,"FA1-FASHION 3PIECE",N/A,"1,650.00",1
DSP-20260303-698605,"2026-03-03 19:41:49",OFFICE,SHOWROOM,Delivered,"JAMDANI 3PIECE -  TA1-7",,"TA1--TANGAIL SAREE HOUSE",N/A,"1,850.00",1
DSP-20260303-A387F6,"2026-03-03 19:41:40",OFFICE,SHOWROOM,Delivered,"COTTON 3PIECE - FA1-15",,"FA1-FASHION 3PIECE",N/A,"1,650.00",1
DSP-20260303-A387F6,"2026-03-03 19:41:40",OFFICE,SHOWROOM,Delivered,"COTTON 3PIECE - FA1-13",,"FA1-FASHION 3PIECE",N/A,"1,650.00",1
DSP-20260303-A387F6,"2026-03-03 19:41:40",OFFICE,SHOWROOM,Delivered,"COTTON 3PIECE - FA1-13",,"FA1-FASHION 3PIECE",N/A,"1,650.00",1
DSP-20260303-50CFDE,"2026-03-03 19:40:58",OFFICE,SHOWROOM,Delivered,"JAMDANI 3PIECE - TA1-23",,"TA1--TANGAIL SAREE HOUSE",N/A,"1,850.00",1
DSP-20260303-67C995,"2026-03-03 19:40:23",OFFICE,SHOWROOM,Delivered,"COTTON 3PIECE - FA1-15",,"FA1-FASHION 3PIECE",N/A,"1,650.00",1
DSP-20260303-67C995,"2026-03-03 19:40:23",OFFICE,SHOWROOM,Delivered,"COTTON 3PIECE - FA1-17",,"FA1-FASHION 3PIECE",N/A,"1,650.00",1
DSP-20260303-A39164,"2026-03-03 19:39:00",OFFICE,SHOWROOM,Delivered,"JAMDANI 3PIECE - TA1-27",,"TA1--TANGAIL SAREE HOUSE",N/A,"1,850.00",1
DSP-20260303-508140,"2026-03-03 19:31:16",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-35",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260303-5ED613,"2026-03-03 19:30:27",OFFICE,SHOWROOM,In_transit,"DESHIO BLOCK 3PIECE - DE1-8",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260303-5ED613,"2026-03-03 19:30:27",OFFICE,SHOWROOM,In_transit,"DESHIO BLOCK 3PIECE - DE1-8",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260303-DC2041,"2026-03-03 17:42:05",OFFICE,SHOWROOM,Delivered,"COTTON 3PIECE - FA1-15",,"FA1-FASHION 3PIECE",N/A,"1,650.00",1
DSP-20260303-4C7DFA,"2026-03-03 17:05:10",OFFICE,SHOWROOM,Delivered,"DESHI JOYPURI 3PIECE - FA1-6",,"FA1-FASHION 3PIECE",N/A,"1,500.00",1
DSP-20260303-4C7DFA,"2026-03-03 17:05:10",OFFICE,SHOWROOM,Delivered,"DESHI JOYPURI 3PIECE - FA1-6",,"FA1-FASHION 3PIECE",N/A,"1,500.00",1
DSP-20260303-48A356,"2026-03-03 17:04:32",OFFICE,SHOWROOM,Delivered,"COTTON BATIK 3PIECE - NU1-10",,NU1--NURJAHAN,N/A,"1,350.00",1
DSP-20260303-34A4E7,"2026-03-03 16:53:29",OFFICE,SHOWROOM,Delivered,"TOTE BAG - S01-12",,SO1--SOWDAGOR,N/A,"1,350.00",1
DSP-20260303-AB1C00,"2026-03-03 16:43:59",OFFICE,SHOWROOM,Delivered,"COCO LAWN 3PIECE - SA1-11",,"SA1--SAJIB TEXTILE",N/A,"1,350.00",1
DSP-20260303-F4CAA5,"2026-03-03 16:08:54",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-36",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260303-F4CAA5,"2026-03-03 16:08:54",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-36",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260303-F4CAA5,"2026-03-03 16:08:54",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-36",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260303-161D45,"2026-03-03 16:07:05",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-36",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260303-161D45,"2026-03-03 16:07:05",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-36",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260303-161D45,"2026-03-03 16:07:05",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-36",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260303-782495,"2026-03-03 15:46:19",SHOWROOM,OFFICE,Delivered,"SILK BATIK 3PIECE - NU1-28",,NU1--NURJAHAN,N/A,"1,450.00",1
DSP-20260303-0490BC,"2026-03-03 15:35:20",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-13",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260303-0490BC,"2026-03-03 15:35:20",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-13",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260303-60B680,"2026-03-03 15:34:26",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-8",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260303-60B680,"2026-03-03 15:34:26",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-8",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
DSP-20260303-32EC5B,"2026-03-03 15:33:28",OFFICE,SHOWROOM,Delivered,"SILK BATIK 3PIECE - NU1-33",,NU1--NURJAHAN,N/A,"1,450.00",1
DSP-20260303-32EC5B,"2026-03-03 15:33:28",OFFICE,SHOWROOM,Delivered,"SILK BATIK 3PIECE - NU1-27",,NU1--NURJAHAN,N/A,"1,450.00",1
DSP-20260303-BC3C03,"2026-03-03 15:32:31",OFFICE,SHOWROOM,Delivered,"DESHIO BLOCK 3PIECE - DE1-2",,"DE1--DESHIO FACTORY",N/A,"1,150.00",1
